state,area,popdensity,3-Mar,4-Mar,5-Mar,6-Mar,7-Mar,8-Mar,9-Mar,10-Mar,11-Mar,12-Mar,13-Mar,14-Mar,15-Mar,16-Mar,17-Mar,18-Mar,19-Mar,20-Mar,21-Mar,22-Mar,23-Mar,24-Mar,25-Mar,26-Mar,27-Mar,28-Mar,29-Mar,30-Mar
Andaman,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9,9
Andhra Pradesh,,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,7,8,9,11,11,14,19,23
Arunachal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,4,3,6,9,11,15
Chandigarh,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,7,7,7,7,7,8,8
Chhattisgarh,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,,1,1,3,6,6,7,7
Dadra,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,,,1,1,3,4,4,4,5,5,6,6,6,7,7,7,8,10,15,20,24,29,29,30,31,35,36,39,49,87
Goa,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,5
Gujarat,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,29,33,38,38,43,45,58,69
Haryana,,,0,14,14,14,14,14,14,14,14,14,14,14,14,14,15,17,18,19,20,21,26,28,28,30,30,33,33,36
Himachal Pradesh,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,3,3,3
Jammu and Kashmir,,,0,0,0,0,0,0,1,1,1,1,1,2,2,2,3,3,3,4,4,4,4,4,7,11,13,18,31,48
Karnataka,,,0,0,0,0,0,0,0,4,4,4,6,6,6,6,11,11,15,19,22,26,33,37,41,41,55,55,76,83
Kerala,,,3,3,3,3,3,8,9,11,19,19,19,19,23,23,26,27,33,40,46,52,67,95,109,118,118,165,182,202
Ladakh,,,0,0,0,0,2,2,0,2,2,3,3,3,3,4,6,8,9,11,12,13,13,13,13,13,13,13,13,13
Lakshwadeep,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,7,14,15,20,30,30,47
Maharashtra,,,0,0,0,0,0,0,0,2,2,11,14,14,32,32,39,42,48,55,61,67,74,89,128,124,124,180,186,198
Meghalaya,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0
Manipur,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,1,1,1,1
Mizoram,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Odisha,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,3,3,3
Puducherry,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,2,1,1,1,1,1,1,1
Punjab,,,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,6,11,16,21,21,29,29,33,33,38,38,38
Rajasthan,,,1,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,9,14,19,24,28,32,36,38,41,48,55,59
Sikkim,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,3,4,6,7,9,15,18,26,26,38,49,67
Telengana,,,1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,6,10,14,18,22,32,35,35,41,44,48,66,71
Tripura,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,,,0,6,6,6,6,6,7,7,7,11,11,12,13,13,15,16,19,22,24,27,31,33,37,37,41,44,65,82
Uttarakhand,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,3,4,4,5,5,5,7,7
West Bengal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,9,9,9,10,15,18,22
,,,6,28,30,31,34,41,46,54,64,78,84,87,112,114,139,152,196,243,284,360,432,519,606,649,694,864,,
